YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2018,2018,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,American Indian/Alaska Native,"(41.70828019300046, -71.52247031399963)",PA,PA1,Q047,VALUE,44,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2018,2018,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,39.4,39.4,,,33.4,45.8,468,,,,,"$25,000 - $34,999",,"(47.06652897200047, -109.42442064499971)",OWS,OWS1,Q037,VALUE,30,Income,"$25,000 - $34,999",INC,INC2535
2018,2018,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,30.1,30.1,,,27.4,33,2608,,,,Female,,,"(47.47531977900047, -100.11842104899966)",OWS,OWS1,Q037,VALUE,38,Gender,Female,GEN,FEMALE
2018,2018,LA,Louisiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,24.4,24.4,,,19.9,29.6,545,,,,,"$35,000 - $49,999",,"(31.31266064400046, -92.44568007099969)",PA,PA1,Q047,VALUE,22,Income,"$35,000 - $49,999",INC,INC3550
2018,2018,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,25.8,25.8,,,17.6,36.1,138,,18 - 24,,,,,"(13.444304, 144.793731)",OWS,OWS1,Q037,VALUE,66,Age (years),18 - 24,AGEYR,AGEYR1824
2018,2018,MO,Missouri,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,15.4,15.4,,,11.2,20.7,281,,18 - 24,,,,,"(38.635790776000476, -92.56630005299968)",PA,PA1,Q047,VALUE,29,Age (years),18 - 24,AGEYR,AGEYR1824
2018,2018,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.4,31.4,,,27.1,36.2,618,,,Less than high school,,,,"(47.52227862900048, -120.47001078999972)",OWS,OWS1,Q036,VALUE,53,Education,Less than high school,EDU,EDUHS
2018,2018,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.9,30.9,,,29.8,32.1,16029,Total,,,,,,"(39.29058096400047, -76.60926011099963)",OWS,OWS1,Q036,VALUE,24,Total,Total,OVR,OVERALL
2018,2018,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,31.8,31.8,,,26.5,37.7,385,,25 - 34,,,,,"(43.682630005000476, -114.3637300419997)",OWS,OWS1,Q037,VALUE,16,Age (years),25 - 34,AGEYR,AGEYR2534
2018,2018,ND,North Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,12.5,12.5,,,8.8,17.5,252,,18 - 24,,,,,"(47.47531977900047, -100.11842104899966)",PA,PA1,Q047,VALUE,38,Age (years),18 - 24,AGEYR,AGEYR1824
2018,2018,MI,Michigan,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(44.6613195430005, -84.71439026999968)",OWS,OWS1,Q037,VALUE,26,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2018,2018,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.7,40.7,,,38.8,42.5,4746,,65 or older,,,,,"(45.254228894000505, -68.98503133599962)",OWS,OWS1,Q037,VALUE,23,Age (years),65 or older,AGEYR,AGEYR65PLUS
2018,2018,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,42.1,42.1,,,19.6,68.4,125,,,,,,American Indian/Alaska Native,"(44.39319117400049, -89.81637074199966)",OWS,OWS1,Q037,VALUE,55,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2018,2018,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.3,32.3,,,29.4,35.2,1854,,,High school graduate,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,1,Education,High school graduate,EDU,EDUHSGRAD
2018,2018,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,36.2,36.2,,,29,44.1,248,,,Less than high school,,,,"(44.39319117400049, -89.81637074199966)",PA,PA1,Q047,VALUE,55,Education,Less than high school,EDU,EDUHS
2018,2018,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,16,16,,,11,22.6,304,,25 - 34,,,,,"(64.84507995700051, -147.72205903599973)",PA,PA1,Q047,VALUE,2,Age (years),25 - 34,AGEYR,AGEYR2534
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,8.1,8.1,,,7.1,9.1,5174,,,,,,Hispanic,"(18.220833, -66.590149)",PA,PA1,Q044,VALUE,72,Race/Ethnicity,Hispanic,RACE,RACEHIS
2018,2018,LA,Louisiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,25.5,25.5,,,15.4,39.1,82,,,,,,2 or more races,"(31.31266064400046, -92.44568007099969)",OWS,OWS1,Q037,VALUE,22,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2013,2013,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,26.3,26.3,,,25.2,27.4,10564,Total,,,,,,"(40.793730152, -77.860700294)",PA,PA1,Q047,VALUE,42,Total,Total,OVR,OVERALL
2018,2018,DE,Delaware,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(39.008830667000495, -75.57774116799965)",OWS,OWS1,Q036,VALUE,10,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2018,2018,SD,South Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32,32,,,25.3,39.5,662,,,,,"$25,000 - $34,999",,"(44.353130053000484, -100.3735306369997)",OWS,OWS1,Q036,VALUE,46,Income,"$25,000 - $34,999",INC,INC2535
2018,2018,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,21.8,21.8,,,15.3,29.9,195,,,,,Data not reported,,"(13.444304, 144.793731)",OWS,OWS1,Q036,VALUE,66,Income,Data not reported,INC,INCNR
2018,2018,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28,28,,,26.4,29.8,5572,,,,,,Non-Hispanic White,"(43.62538123900049, -72.51764079099962)",OWS,OWS1,Q036,VALUE,50,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2018,2018,MI,Michigan,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,21.4,21.4,,,18.8,24.3,1241,,35 - 44,,,,,"(44.6613195430005, -84.71439026999968)",PA,PA1,Q047,VALUE,26,Age (years),35 - 44,AGEYR,AGEYR3544
2018,2018,MS,Mississippi,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,36.7,36.7,,,34.6,38.8,3482,,,,Female,,,"(32.745510099000455, -89.53803082499968)",PA,PA1,Q047,VALUE,28,Gender,Female,GEN,FEMALE
2018,2018,OH,Ohio,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.5,36.5,,,27.3,46.9,214,,,,,,2 or more races,"(40.06021014100048, -82.40426005599966)",OWS,OWS1,Q036,VALUE,39,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2018,2018,UT,Utah,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,31.6,31.6,,,28.1,35.4,923,,,,,,Hispanic,"(39.360700171000474, -111.58713063499971)",PA,PA1,Q047,VALUE,49,Race/Ethnicity,Hispanic,RACE,RACEHIS
2018,2018,GA,Georgia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.7,35.7,,,34.1,37.3,5064,,,,,,Non-Hispanic White,"(32.83968109300048, -83.62758034599966)",OWS,OWS1,Q037,VALUE,13,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2018,2018,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,17.3,17.3,,,16,18.6,4574,,,,Female,,,"(38.843840757000464, -106.13361092099967)",PA,PA1,Q047,VALUE,8,Gender,Female,GEN,FEMALE
2018,2018,DE,Delaware,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,16.8,16.8,,,12.3,22.4,315,,18 - 24,,,,,"(39.008830667000495, -75.57774116799965)",PA,PA1,Q047,VALUE,10,Age (years),18 - 24,AGEYR,AGEYR1824
2018,2018,MN,Minnesota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.3,38.3,,,36.8,39.8,5726,,,,,"$75,000 or greater",,"(46.35564873600049, -94.79420050299967)",OWS,OWS1,Q037,VALUE,27,Income,"$75,000 or greater",INC,INC75PLUS
2018,2018,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.4,34.4,,,31.6,37.3,1719,,,High school graduate,,,,"(40.79373015200048, -77.86070029399963)",OWS,OWS1,Q037,VALUE,42,Education,High school graduate,EDU,EDUHSGRAD
2018,2018,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,27.5,27.5,,,23.3,32.2,683,,,,,"$35,000 - $49,999",,"(35.47203135600046, -97.52107021399968)",PA,PA1,Q047,VALUE,40,Income,"$35,000 - $49,999",INC,INC3550
2018,2018,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,43.2,43.2,,,30.6,56.7,167,,,,,,American Indian/Alaska Native,"(41.6410409880005, -99.36572062299967)",OWS,OWS1,Q036,VALUE,31,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2018,2018,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.1,24.1,,,21.3,27.2,1384,,,,,Data not reported,,"(39.360700171000474, -111.58713063499971)",OWS,OWS1,Q036,VALUE,49,Income,Data not reported,INC,INCNR
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Non-Hispanic White,"(18.220833, -66.590149)",PA,PA1,Q045,VALUE,72,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2018,2018,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40,40,,,37.4,42.6,2820,,,,Male,,,"(43.62538123900049, -72.51764079099962)",OWS,OWS1,Q037,VALUE,50,Gender,Male,GEN,MALE
2018,2018,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.1,27.1,,,24.3,30,1786,,,,,"$75,000 or greater",,"(43.65595011300047, -71.50036091999965)",OWS,OWS1,Q036,VALUE,33,Income,"$75,000 or greater",INC,INC75PLUS
2018,2018,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.2,36.2,,,35.4,37,60363,,45 - 54,,,,,,OWS,OWS1,Q037,VALUE,59,Age (years),45 - 54,AGEYR,AGEYR4554
2018,2018,MS,Mississippi,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,46.3,46.3,,,42.4,50.4,897,,45 - 54,,,,,"(32.745510099000455, -89.53803082499968)",OWS,OWS1,Q036,VALUE,28,Age (years),45 - 54,AGEYR,AGEYR4554
2018,2018,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.9,38.9,,,26.5,53.1,75,,,,,,2 or more races,"(40.79373015200048, -77.86070029399963)",OWS,OWS1,Q037,VALUE,42,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2018,2018,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,18.8,18.8,,,14,24.7,317,,18 - 24,,,,,"(18.220833, -66.590149)",OWS,OWS1,Q036,VALUE,72,Age (years),18 - 24,AGEYR,AGEYR1824
2018,2018,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,11.6,11.6,,,8.2,16.1,276,,18 - 24,,,,,"(47.06652897200047, -109.42442064499971)",OWS,OWS1,Q036,VALUE,30,Age (years),18 - 24,AGEYR,AGEYR1824
2018,2018,NC,North Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.6,40.6,,,37,44.2,1338,,65 or older,,,,,"(35.466220975000454, -79.15925046299964)",OWS,OWS1,Q037,VALUE,37,Age (years),65 or older,AGEYR,AGEYR65PLUS
2018,2018,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,20.9,20.9,,,19.2,22.6,3852,,,,,"$75,000 or greater",,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q036,VALUE,6,Income,"$75,000 or greater",INC,INC75PLUS
2018,2018,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,37.9,37.9,,,35.2,40.7,2276,,,College graduate,,,,"(43.65595011300047, -71.50036091999965)",OWS,OWS1,Q037,VALUE,33,Education,College graduate,EDU,EDUCOGRAD
2018,2018,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.8,35.8,,,34,37.7,4879,,,,,,Non-Hispanic White,"(43.65595011300047, -71.50036091999965)",OWS,OWS1,Q037,VALUE,33,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2018,2018,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.2,32.2,,,30.5,33.9,4292,,,,,,Non-Hispanic White,"(38.66551020200046, -80.71264013499967)",OWS,OWS1,Q037,VALUE,54,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2018,2018,KY,Kentucky,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,31.3,31.3,,,28,34.9,1781,,55 - 64,,,,,"(37.645970271000465, -84.77497104799966)",OWS,OWS1,Q037,VALUE,21,Age (years),55 - 64,AGEYR,AGEYR5564
2018,2018,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,41.7,41.7,,,37,46.5,644,,,,,"Less than $15,000",,"(38.34774030000045, -98.20078122699965)",OWS,OWS1,Q036,VALUE,20,Income,"Less than $15,000",INC,INCLESS15
2018,2018,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,26.9,26.9,,,20.8,33.9,242,,,,,"Less than $15,000",,"(43.23554134300048, -108.10983035299967)",PA,PA1,Q047,VALUE,56,Income,"Less than $15,000",INC,INCLESS15
2018,2018,TX,Texas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.4,34.4,,,24.8,45.4,215,,,,,,Asian,"(31.827240407000488, -99.42677020599967)",OWS,OWS1,Q037,VALUE,48,Race/Ethnicity,Asian,RACE,RACEASN
2018,2018,DE,Delaware,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Other,"(39.008830667000495, -75.57774116799965)",OWS,OWS1,Q037,VALUE,10,Race/Ethnicity,Other,RACE,RACEOTH
2018,2018,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.8,34.8,,,29.9,40.1,661,,,,,"$15,000 - $24,999",,"(41.70828019300046, -71.52247031399963)",OWS,OWS1,Q037,VALUE,44,Income,"$15,000 - $24,999",INC,INC1525
2018,2018,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,21.8,21.8,,,18.4,25.7,868,,,,,"$35,000 - $49,999",,"(21.304850435000446, -157.85774940299973)",OWS,OWS1,Q036,VALUE,15,Income,"$35,000 - $49,999",INC,INC3550
2017,2017,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.6,36.6,,,34.4,38.8,3853,,,College graduate,,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q037,VALUE,6,Education,College graduate,EDU,EDUCOGRAD
2018,2018,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.3,33.3,,,19.3,51,62,,,,,,Other,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q036,VALUE,18,Race/Ethnicity,Other,RACE,RACEOTH
2018,2018,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.8,40.8,,,25.9,57.6,87,,,,,,2 or more races,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,1,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2018,2018,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.2,24.2,,,21.2,27.4,1625,,,,,Data not reported,,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q036,VALUE,9,Income,Data not reported,INC,INCNR
2018,2018,GA,Georgia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.9,36.9,,,32.8,41.3,757,,,Less than high school,,,,"(32.83968109300048, -83.62758034599966)",OWS,OWS1,Q036,VALUE,13,Education,Less than high school,EDU,EDUHS
2018,2018,NC,North Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,14.5,14.5,,,6.2,30.3,55,,,,,,Asian,"(35.466220975000454, -79.15925046299964)",PA,PA1,Q047,VALUE,37,Race/Ethnicity,Asian,RACE,RACEASN
2018,2018,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.1,38.1,,,33.5,42.9,826,,,,,"$50,000 - $74,999",,"(47.47531977900047, -100.11842104899966)",OWS,OWS1,Q037,VALUE,38,Income,"$50,000 - $74,999",INC,INC5075
2018,2018,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.7,32.7,,,31.7,33.6,46643,,,,,"$35,000 - $49,999",,,OWS,OWS1,Q036,VALUE,59,Income,"$35,000 - $49,999",INC,INC3550
2018,2018,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.7,26.7,,,25,28.5,3926,,,,,"$75,000 or greater",,"(47.52227862900048, -120.47001078999972)",OWS,OWS1,Q036,VALUE,53,Income,"$75,000 or greater",INC,INC75PLUS
2018,2018,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.9,26.9,,,16.7,40.3,88,,,,,,Hispanic,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Hispanic,RACE,RACEHIS
2018,2018,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38,38,,,34.6,41.6,983,,55 - 64,,,,,"(43.23554134300048, -108.10983035299967)",OWS,OWS1,Q037,VALUE,56,Age (years),55 - 64,AGEYR,AGEYR5564
2018,2018,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.9,32.9,,,25.7,40.9,252,,,,,,2 or more races,"(35.47203135600046, -97.52107021399968)",OWS,OWS1,Q037,VALUE,40,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2018,2018,WV,West Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,American Indian/Alaska Native,"(38.66551020200046, -80.71264013499967)",PA,PA1,Q047,VALUE,54,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2018,2018,IL,Illinois,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.7,35.7,,,32.7,38.8,1276,,,Some college or technical school,,,,"(40.48501028300046, -88.99771017799969)",OWS,OWS1,Q036,VALUE,17,Education,Some college or technical school,EDU,EDUCOTEC
2018,2018,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,27.4,27.4,,,22.8,32.6,654,,,,,Data not reported,,"(44.39319117400049, -89.81637074199966)",PA,PA1,Q047,VALUE,55,Income,Data not reported,INC,INCNR
2018,2018,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,28,28,,,25.3,30.8,1632,,65 or older,,,,,"(38.89037138500049, -77.03196112699965)",PA,PA1,Q047,VALUE,11,Age (years),65 or older,AGEYR,AGEYR65PLUS
2018,2018,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33.8,33.8,,,30.7,37,1369,,,Some college or technical school,,,,"(43.23554134300048, -108.10983035299967)",OWS,OWS1,Q037,VALUE,56,Education,Some college or technical school,EDU,EDUCOTEC
2018,2018,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.4,35.4,,,33.6,37.3,5235,Total,,,,,,"(43.65595011300047, -71.50036091999965)",OWS,OWS1,Q037,VALUE,33,Total,Total,OVR,OVERALL
2018,2018,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Asian,"(43.682630005000476, -114.3637300419997)",OWS,OWS1,Q037,VALUE,16,Race/Ethnicity,Asian,RACE,RACEASN
2018,2018,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.9,28.9,,,25.7,32.3,1491,,,,,"$75,000 or greater",,"(34.52088095200048, -106.24058098499967)",OWS,OWS1,Q036,VALUE,35,Income,"$75,000 or greater",INC,INC75PLUS
2018,2018,MS,Mississippi,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.9,32.9,,,28.1,38.1,552,,25 - 34,,,,,"(32.745510099000455, -89.53803082499968)",OWS,OWS1,Q037,VALUE,28,Age (years),25 - 34,AGEYR,AGEYR2534
2018,2018,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,American Indian/Alaska Native,"(43.65595011300047, -71.50036091999965)",OWS,OWS1,Q036,VALUE,33,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2018,2018,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.4,30.4,,,29.1,31.6,9517,Total,,,,,,"(37.54268067400045, -78.45789046299967)",OWS,OWS1,Q036,VALUE,51,Total,Total,OVR,OVERALL
